Nom,URL,Catégorie,Pays,Prix,Score,Score max,Score partiel,Description,Badges,Actu,Coup de coeur,Couleur,Accent
Akimbo,https://akimbo.store,Streetwear,UK,€€€,5,5,false,"Pièces sculptées, univers cohérent. Une des rares marques indé avec une vraie identité visuelle de bout en bout.","Petites séries;Matières soignées;Identité forte",,true,#1a1a1a,#c8b89a
Derschutze,https://derschutze.com,Streetwear,Allemagne,€€,0,5,true,À compléter,Indé;Streetwear,,false,,
Sweats EU,https://sweatseu.com,Streetwear,EU,€€,0,5,true,À compléter,Essentials;EU,,false,,
Shinzo,https://shinzo.paris,Streetwear,Paris FR,€€,0,5,true,À compléter,Made in FR;Streetwear,,false,,
Mutimer,https://mutimer.com,Streetwear,France,€€,0,5,true,À compléter,Indé,,false,,
Lil Lit,https://lillit.fr,Streetwear,France,€€,0,5,true,À compléter,Indé,,false,,
Angel Boy,https://angelboy.fr,Streetwear,France,€€,0,5,true,À compléter,Indé,,false,,
FiveFourFive,https://fivefourfive.com,Streetwear,France,€€,0,5,true,À compléter,Indé,,false,,
F/Fected,https://fffected.com,Streetwear,France,€€,0,5,true,À compléter,Indé,,false,,
DRMERS Club,https://drmersclub.com,Streetwear,France,€€,0,5,true,À compléter,Indé,,false,,
Ementa,https://ementa.studio,Streetwear,Portugal,€€,0,5,true,À compléter,Indé,,false,,
Uhnother,https://uhnother.com,Indé,–,€€,2,5,true,"À surveiller de près. Peu d'infos disponibles mais les pièces parlent d'elles-mêmes.",Indé;À suivre,,false,,
Trendt Vision,https://trendtvision.com,Streetwear,EU,€€,0,5,true,À compléter,Streetwear,,false,,
Edwin,https://edwin-europe.com,Denim,Japon / EU,€€€,3,5,false,"Denim japonais de référence. Selvedge authentique, coupe iconique.",Denim;Selvedge;Héritage,,false,#2b3a52,#7a9cc0
The Frankie Shop,https://thefrankieshop.com,Tailoring,Corée / EU,€€€,0,5,true,À compléter,Minimal;Tailoring,,false,,
Eme Studios,https://emestudios.com,Streetwear,Espagne,€€,0,5,true,À compléter,Indé,,false,,
Scuffers,https://scuffers.com,Streetwear,Espagne,€€,0,5,true,À compléter,Streetwear,,false,,
Spare Jeans,https://sparejeans.com,Denim,France,€€,0,5,true,À compléter,Denim;Made in FR,,false,,
Walk in Paris,https://walkinparis.com,Urban,Paris FR,€€,3,5,true,"Ancrage parisien fort, pièces durables pensées pour la ville.",FR;Urban;Durable,,false,#3d3530,#d4a96a
Arte Antwerp,https://arte-antwerp.com,Streetwear,Belgique,€€€,0,5,true,À compléter,Streetwear;EU,,false,,
Weyz Clothing,https://weyzclothing.com,Streetwear,France,€€,0,5,true,À compléter,Made in FR,,false,,
DaVril Supply,https://davrilsupply.com,Workwear,France,€€,0,5,true,À compléter,Workwear;FR,,false,,
Old Time Fever,https://oldtimefever.com,Vintage,France,€€,0,5,true,À compléter,Vintage;FR,,false,,
Human With Attitude,https://humanwithattitude.com,Streetwear,Paris FR,€€,4,5,true,"Streetwear parisien indépendant avec une vraie communauté derrière.",Made in FR;Communauté;Essentials,,false,#f0ece4,#2a2a2a
Diemm,https://diemm.fr,Streetwear,France,€€,0,5,true,À compléter,Made in FR,,false,,
DivinByDivin,https://divinbydivin.com,Streetwear,France,€€,0,5,true,À compléter,Indé,,false,,
Supraw,https://supraw.com,Streetwear,France,€€,0,5,true,À compléter,Made in FR,,false,,
Coutumes,https://coutumes.paris,Bijoux,France,€€€,4,5,true,"Bijoux masculins, fabrication artisanale française.",Artisanal;Made in FR;Masculin,,false,#e8ddd0,#8b6f47
Fragment Studio,https://fragmentstudio.fr,Bijoux,France,€€€,0,5,true,À compléter,Artisanal;Bijoux,,false,,
